"","V1","V2"
"1","Afghanistan","Aedimorphus vexans"
"2","Afghanistan"," Anopheles algeriensis"
"3","Afghanistan"," Anopheles claviger"
"4","Afghanistan"," Anopheles culicifacies"
"5","Afghanistan"," Anopheles dthali"
"6","Afghanistan"," Anopheles fluviatilis"
"7","Afghanistan"," Anopheles hyrcanus"
"8","Afghanistan"," Anopheles lindesayi"
"9","Afghanistan"," Anopheles martinius"
"10","Afghanistan"," Anopheles moghulensis"
"11","Afghanistan"," Anopheles multicolor"
"12","Afghanistan"," Anopheles peditaeniatus"
"13","Afghanistan"," Anopheles pseudopictus"
"14","Afghanistan"," Anopheles pulcherrimus"
"15","Afghanistan"," Anopheles sacharovi"
"16","Afghanistan"," Anopheles splendidus"
"17","Afghanistan"," Anopheles stephensi"
"18","Afghanistan"," Anopheles subpictus"
"19","Afghanistan"," Anopheles superpictus"
"20","Afghanistan"," Anopheles turkhudi"
"21","Afghanistan"," Culex pipiens"
"22","Afghanistan"," Culex quinquefasciatus"
"23","Afghanistan"," Culex theileri"
"24","Afghanistan"," Culex univittatus"
"25","Afghanistan"," Culiseta longiareolata"
"26","Afghanistan"," Ochlerotatus caspius"
"27","Albania","Acartomyia zammitii"
"28","Albania"," Anopheles algeriensis"
"29","Albania"," Anopheles claviger"
"30","Albania"," Anopheles hyrcanus"
"31","Albania"," Anopheles maculipennis"
"32","Albania"," Anopheles marteri"
"33","Albania"," Anopheles messeae"
"34","Albania"," Anopheles plumbeus"
"35","Albania"," Anopheles sacharovi"
"36","Albania"," Anopheles superpictus"
"37","Albania"," Culex hortensis"
"38","Albania"," Culex territans"
"39","Albania"," Culex theileri"
"40","Albania"," Culiseta annulata"
"41","Albania"," Culiseta longiareolata"
"42","Albania"," Dahliana geniculata"
"43","Albania"," Orthopodomyia pulcripalpis"
"44","Albania"," Stegomyia albopicta"
"45","Algeria","Acartomyia mariae"
"46","Algeria"," Aedimorphus vexans"
"47","Algeria"," Anopheles algeriensis"
"48","Algeria"," Anopheles cinereus"
"49","Algeria"," Anopheles dthali"
"50","Algeria"," Anopheles labranchiae"
"51","Algeria"," Anopheles marteri"
"52","Algeria"," Anopheles multicolor"
"53","Algeria"," Anopheles plumbeus"
"54","Algeria"," Anopheles rufipes"
"55","Algeria"," Anopheles sacharovi"
"56","Algeria"," Anopheles sergentii"
"57","Algeria"," Anopheles superpictus"
"58","Algeria"," Cellia cinereus hispaniola"
"59","Algeria"," Cellia rhodesiensis rupicola"
"60","Algeria"," Cellia rufipes broussesi"
"61","Algeria"," Cellia sergentii macmahoni"
"62","Algeria"," Culex arbieeni"
"63","Algeria"," Culex beta"
"64","Algeria"," Culex deserticola"
"65","Algeria"," Culex gamma"
"66","Algeria"," Culex mimeticus"
"67","Algeria"," Culex modestus"
"68","Algeria"," Culex perexiguus"
"69","Algeria"," Culex pipiens"
"70","Algeria"," Culex pusillus"
"71","Algeria"," Culex theileri"
"72","Algeria"," Culex univittatus"
"73","Algeria"," Culiseta annulata"
"74","Algeria"," Culiseta fumipennis"
"75","Algeria"," Culiseta litorea"
"76","Algeria"," Culiseta subochrea"
"77","Algeria"," Dahliana echinus"
"78","Algeria"," Fredwardsius vittatus"
"79","Algeria"," Ochlerotatus albineus"
"80","Algeria"," Ochlerotatus berlandi"
"81","Algeria"," Ochlerotatus biskraensis"
"82","Algeria"," Ochlerotatus caspius"
"83","Algeria"," Ochlerotatus detritus"
"84","Algeria"," Ochlerotatus quasirusticus"
"85","Algeria"," Ochlerotatus rusticus"
"86","Algeria"," Orthopodomyia pulcripalpis"
"87","Algeria"," Stegomyia aegypti"
"88","Algeria"," Uranotaenia unguiculata"
"89","Andaman Islands","Anopheles aitkenii"
"90","Andaman Islands"," Orthopodomyia andamanensis"
"91","Andaman Islands"," Stegomyia edwardsi"
"92","Andaman Islands"," Verrallina andamanensis"
"93","Andora","Culex hortensis"
"94","Angola","Aedeomyia africana"
"95","Angola"," Aedeomyia furfurea"
"96","Angola"," Aedimorphus alboventralis"
"97","Angola"," Aedimorphus cumminsii"
"98","Angola"," Aedimorphus dalzieli"
"99","Angola"," Aedimorphus dentatus"
"100","Angola"," Aedimorphus domesticus"
"101","Angola"," Aedimorphus durbanensis"
"102","Angola"," Aedimorphus durbanensis angolae"
"103","Angola"," Aedimorphus leesoni"
"104","Angola"," Aedimorphus natronius"
"105","Angola"," Aedimorphus nigricephalus"
"106","Angola"," Aedimorphus quasiunivittatus"
"107","Angola"," Albuginosus marshallii"
"108","Angola"," Anopheles africanus"
"109","Angola"," Anopheles arabiensis"
"110","Angola"," Anopheles ardensis"
"111","Angola"," Anopheles argenteolobatus"
"112","Angola"," Anopheles austenii"
"113","Angola"," Anopheles azevedoi"
"114","Angola"," Anopheles barberellus"
"115","Angola"," Anopheles brunnipes"
"116","Angola"," Anopheles caliginosus"
"117","Angola"," Anopheles cinctus"
"118","Angola"," Anopheles coluzzii"
"119","Angola"," Anopheles concolor"
"120","Angola"," Anopheles coustani"
"121","Angola"," Anopheles cydippis"
"122","Angola"," Anopheles demeilloni"
"123","Angola"," Anopheles distinctus"
"124","Angola"," Anopheles dureni"
"125","Angola"," Anopheles flavicosta"
"126","Angola"," Anopheles funestus"
